pfizer,moderna,JJ,month
1229880.0,343283.0,0.0,12
4672052.0,4928944.0,0.0,1
14773871.0,12601245.0,1293647.0,3
9236802.0,6669899.0,1832926.0,4
8752057.0,8777106.0,59.0,2
